,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
96,camacha,PT,33.08,-16.33,73.4,73,75,11.41
97,kodiak,US,39.95,-94.76,87.24,69,1,6.93
98,mar del plata,AR,-46.43,-67.52,42.86,61,82,4.68
99,rio de janeiro,BR,-22.91,-43.21,78.82,69,0,10.29
100,polkowice,PL,51.5,16.07,61.02,82,51,4.94
101,tessalit,ML,20.2,1.01,107.12,7,49,9.33
102,lebu,ET,8.96,38.73,59.0,82,75,9.17
103,baiyin,CN,36.55,104.13,53.6,93,0,4.47
104,uwajima,JP,33.22,132.57,67.7,92,100,5.19
105,provideniya,RU,64.42,-173.23,71.48,38,100,2.28
106,klaksvik,FO,62.23,-6.59,51.8,87,100,5.82
107,ozieri,IT,40.59,9.0,78.04,32,0,13.87
108,clyde river,CA,70.47,-68.59,39.2,93,75,18.34
109,hilo,US,19.71,-155.08,78.03,58,1,3.36
110,keti bandar,PK,24.14,67.45,84.26,79,100,17.72
111,chulman,RU,56.84,124.9,60.5,91,8,1.83
112,magrath,CA,49.42,-112.86,79.7,30,75,12.75
113,salalah,OM,17.01,54.1,80.6,94,90,6.93
114,cedar city,US,37.68,-113.06,90.05,12,1,5.82
115,thompson,CA,55.74,-97.86,75.2,33,40,12.75
116,mata,PT,40.68,-7.46,77.99,49,100,4.12
117,hambantota,LK,6.12,81.12,80.6,100,40,5.82
118,saint augustine,TT,10.65,-61.4,85.93,58,40,9.17
119,pisco,PE,-13.71,-76.2,68.5,30,40,9.17
120,san luis,AR,-33.3,-66.34,59.42,48,82,10.83
121,ihosy,MG,-22.4,46.13,53.84,93,0,4.59
122,hobart,AU,-42.88,147.33,40.6,75,40,9.17
123,kaohsiung,TW,22.62,120.31,82.18,94,75,4.7
124,nagua,DO,19.37,-69.85,87.26,83,40,13.87
125,bokhan,RU,53.15,103.77,56.36,85,100,2.86
126,southbridge,US,42.08,-72.03,84.2,48,40,14.99
127,esperance,AU,-33.86,121.89,48.2,93,90,5.57
128,zeya,RU,53.74,127.27,62.84,69,7,3.0
129,leshukonskoye,RU,64.9,45.76,43.4,89,29,1.36
130,iqaluit,CA,63.75,-68.52,57.09,62,40,3.36
131,victoria,BN,5.28,115.24,75.07,100,90,4.45
132,caborca,MX,30.58,-111.1,105.01,28,0,1.01
133,oranjemund,ZA,-28.55,16.43,54.92,91,0,12.08
134,birin,NP,26.89,88.07,62.48,99,100,2.42
135,lompoc,US,34.64,-120.46,73.33,77,1,11.41
136,dingle,PH,11.0,122.67,74.0,85,100,2.46
137,tougue,GN,11.45,-11.68,70.4,92,67,1.39
138,bosaso,SO,11.28,49.18,87.14,75,97,5.1
139,saldanha,PT,41.42,-6.55,85.16,28,100,2.91
140,sompeta,IN,18.93,84.6,82.1,78,100,5.37
141,sokolo,ML,14.74,-6.12,84.44,57,79,4.81
142,hammerfest,NO,70.66,23.68,56.44,54,0,14.99
143,villacarrillo,ES,38.12,-3.08,85.88,26,100,9.93
144,valparaiso,US,41.47,-87.06,82.4,39,1,8.05
145,riyadh,SA,24.63,46.72,93.2,7,0,8.05
146,sao filipe,CV,14.9,-24.5,73.46,84,1,17.4
147,gashua,NG,12.87,11.04,88.4,43,83,1.23
148,vanimo,PG,-2.67,141.3,77.96,86,100,10.87
149,pacifica,US,37.61,-122.49,68.07,68,20,18.34
150,ixtapa,MX,20.71,-105.21,88.93,55,75,13.87
151,khuzdar,PK,27.8,66.62,77.06,62,65,2.3
152,springbok,ZA,-29.67,17.88,48.98,92,0,2.77
153,georgetown,GY,6.8,-58.16,84.07,74,40,9.17
154,katsuura,JP,33.93,134.5,71.29,83,75,2.24
155,shirokiy,RU,53.87,39.17,52.4,92,51,5.17
156,dikson,RU,73.51,80.55,32.6,88,0,15.66
157,victor harbor,AU,-35.55,138.62,48.43,62,75,18.34
158,tiksi,RU,71.64,128.87,50.06,60,33,12.3
159,chhatapur,IN,23.07,86.96,82.46,77,100,9.66
160,vangaindrano,MG,-23.35,47.6,58.7,92,0,2.57
161,kuybysheve,UA,47.36,36.65,60.32,73,87,5.19
162,sehithwa,BW,-20.47,22.7,56.18,25,0,5.64
163,bethel,US,60.79,-161.76,62.19,82,90,10.29
164,inongo,CD,-1.93,18.29,75.44,73,7,3.83
165,shenjiamen,CN,29.96,122.3,76.34,96,100,14.92
166,portland,US,43.66,-70.25,74.59,83,75,6.93
167,novi troyany,UA,45.94,28.86,61.22,66,0,1.63
168,monduli,TZ,-3.3,36.45,64.4,72,20,9.17
169,pital,CO,2.27,-75.81,66.26,78,72,3.11
170,port elizabeth,US,39.31,-74.98,87.3,55,20,14.99
171,kampene,CD,-3.59,26.67,70.04,91,99,3.87
172,opuwo,NA,-18.06,13.84,52.76,53,0,1.95
173,hithadhoo,MV,-0.6,73.08,83.9,76,17,11.01
174,chimbote,PE,-9.08,-78.59,63.2,89,7,13.73
175,sibolga,ID,1.74,98.78,83.72,70,67,4.94
176,torbay,CA,47.66,-52.73,59.74,63,75,9.17
177,suntar,RU,62.16,117.65,61.76,94,100,5.75
178,bowen,AU,-20.01,148.25,54.28,93,80,3.36
179,gizo,IL,31.8,34.94,79.92,78,20,8.05
180,bowral,AU,-34.48,150.42,52.65,57,48,18.34
181,cidreira,BR,-30.17,-50.22,70.79,66,100,3.91
182,college,US,64.86,-147.8,60.37,87,90,3.71
183,chokurdakh,RU,70.62,147.9,69.68,55,71,13.29
184,husavik,CA,50.56,-96.99,72.64,49,99,5.01
185,bathsheba,BB,13.22,-59.52,82.4,78,40,18.34
186,boa vista,BR,2.82,-60.67,86.0,62,75,3.36
187,belaya gora,RU,68.54,146.19,73.1,53,100,11.39
188,lasa,CY,34.92,32.53,75.36,78,40,11.41
189,cave,IT,41.82,12.93,75.4,73,0,8.05
190,maceio,BR,-9.67,-35.74,80.6,57,40,11.41
191,vardo,US,39.62,-77.74,86.34,45,1,14.99
192,laguna,BZ,16.17,-88.94,89.6,62,40,6.93
193,geraldton,CA,49.72,-86.95,71.6,68,75,10.29
194,deniliquin,AU,-35.53,144.96,41.0,89,0,10.0
195,arlit,NE,18.74,7.39,99.02,18,0,12.35
196,shelburne,CA,44.08,-80.2,70.72,60,20,6.93
197,san quintin,PH,17.54,120.52,74.54,89,0,3.83
198,teya,MX,21.05,-89.07,94.77,52,75,6.93
199,sayanogorsk,RU,53.09,91.41,56.0,99,100,2.1
200,buchanan,LR,5.88,-10.05,77.0,94,75,3.36
201,vestmannaeyjar,IS,63.44,-20.27,55.4,93,75,8.05
202,avera,US,33.19,-82.53,91.31,55,40,5.82
203,saryozek,KZ,44.36,77.98,68.6,24,65,4.54
204,payakumbuh,ID,-0.23,100.63,65.36,96,42,3.38
205,tigre,AR,-34.42,-58.58,61.83,72,27,6.93
206,mehamn,NO,71.03,27.85,45.55,81,75,8.05
207,saint george,GR,39.45,22.34,73.62,73,75,11.41
208,komsomolskiy,RU,67.55,63.78,50.78,66,0,7.43
209,bilma,NE,18.69,12.92,100.1,18,25,10.76
210,coffs harbour,AU,-30.3,153.13,50.58,87,100,6.93
211,puerto madryn,AR,-42.77,-65.04,49.88,46,0,8.03
212,port macquarie,AU,-31.43,152.91,61.03,51,40,12.75
213,caravelas,BR,-17.73,-39.27,73.1,71,87,6.64
214,ponta delgada,PT,37.73,-25.67,73.4,73,40,10.29
215,fortuna,US,40.6,-124.16,70.68,72,75,10.29
216,todos santos,MX,23.45,-110.23,87.33,42,5,16.11
217,stokmarknes,NO,68.56,14.91,51.08,76,40,10.29
218,nibong tebal,MY,5.17,100.48,78.55,88,75,5.82
219,karratha,AU,-20.74,116.85,68.24,22,0,18.7
220,nouadhibou,MR,20.93,-17.03,73.4,69,0,20.8
221,port blair,IN,11.67,92.75,83.54,77,100,15.86
222,touros,BR,-5.2,-35.46,75.2,94,75,9.17
223,hay river,CA,60.82,-115.79,53.6,76,75,4.7
224,poznan,BY,51.59,27.47,54.2,92,2,3.04
225,west wendover,US,40.74,-114.07,91.4,16,1,8.05
226,luebo,CD,-5.35,21.42,76.52,68,100,5.21
227,miraflores,PE,-16.39,-71.52,68.0,14,0,10.29
228,berlevag,NO,70.86,29.09,42.64,81,75,8.05
229,nizwa,OM,22.93,57.53,79.22,24,0,3.91
230,sitka,US,37.17,-99.65,91.0,47,0,7.0
231,avarua,CK,-21.21,-159.78,71.6,88,40,2.24
232,vetlanda,SE,57.43,15.09,62.56,82,57,1.12
233,sosnovo-ozerskoye,RU,52.53,111.54,61.4,72,80,2.33
234,saskylakh,RU,71.97,114.09,50.06,63,33,4.99
235,kisangani,CD,0.52,25.21,68.96,92,96,1.74
236,taoudenni,ML,22.68,-3.98,101.72,6,0,11.88
237,loukhi,RU,66.08,33.04,44.84,92,86,5.26
238,kavieng,PG,-2.57,150.8,82.64,74,100,12.33
239,oussouye,SN,12.49,-16.54,84.74,83,75,6.93
240,sinnamary,GF,5.38,-52.96,81.02,78,0,14.94
241,robertsport,LR,6.75,-11.37,76.16,88,100,10.65
242,xingyi,CN,24.19,102.82,58.7,99,100,3.0
243,kwinana,AU,-32.25,115.77,48.25,100,80,14.23
244,yaan,NG,7.38,8.57,73.82,94,100,5.01
245,kiunga,PG,-6.12,141.3,65.36,99,100,2.01
246,iquitos,PE,-3.75,-73.25,42.8,319,40,3.36
247,kuytun,RU,54.34,101.51,56.0,84,95,3.22
248,jiuquan,CN,39.73,98.49,66.44,50,100,18.7
249,nha trang,VN,12.24,109.19,84.2,70,20,2.24
250,aksu,KZ,52.04,76.93,64.4,68,0,8.95
251,los llanos de aridane,ES,28.66,-17.92,70.02,69,20,8.05
252,dabou,CI,5.32,-4.37,77.0,88,20,6.93
253,ekhabi,RU,53.51,142.97,50.06,93,100,8.12
254,marzuq,YE,14.4,46.47,79.22,36,64,5.61
255,regeneracao,BR,-6.24,-42.69,82.28,52,76,6.67
256,katangli,RU,51.71,143.23,48.62,94,100,6.89
257,lake city,US,38.03,-107.32,77.7,31,40,12.75
258,paita,PE,-5.09,-81.11,62.6,290,0,12.75
259,mahebourg,MU,-20.41,57.7,68.9,64,40,9.17
260,gisborne,NZ,-38.66,178.02,48.0,70,0,1.99
261,ugoofaaru,MV,5.67,73.0,83.72,71,100,6.17
262,ilulissat,GL,69.22,-51.1,44.6,87,75,4.7
263,labuhan,ID,-2.54,115.51,69.14,95,37,1.83
264,sri aman,MY,1.24,111.46,76.69,100,60,1.45
265,mirabad,IR,28.27,61.33,72.02,39,0,6.22
266,bara,NG,10.41,10.6,72.92,85,100,6.13
267,vao,EE,59.1,26.19,50.6,77,45,7.29
268,oktyabrskiy,RU,55.61,37.97,54.3,87,40,2.24
269,spasskoye,RU,55.86,45.7,53.84,90,69,2.82
270,greystones,IE,53.14,-6.06,60.51,77,75,11.41
271,eseka,CM,3.65,10.77,70.94,99,100,1.7
272,kirovgrad,RU,57.43,60.07,56.9,95,79,3.15
273,coihaique,CL,-45.58,-72.07,42.26,86,75,3.36
274,cayenne,GF,4.94,-52.33,86.0,66,40,12.75
275,petropavlovsk-kamchatskiy,RU,53.05,158.65,51.8,100,90,2.24
276,jiangkou,CN,30.7,117.56,68.6,98,100,4.03
277,mountain home,US,43.13,-115.69,88.79,22,20,3.36
278,saint-augustin,CA,45.63,-73.98,76.89,64,40,8.05
279,lavrentiya,RU,65.58,-170.99,68.6,38,100,2.01
280,cherskiy,RU,68.75,161.3,57.44,69,47,13.38
281,maniitsoq,GL,65.42,-52.9,42.86,89,100,9.73
282,shaikhpura,IN,25.14,85.84,83.18,80,100,4.38
283,mount gambier,AU,-37.83,140.78,46.4,81,75,17.22
284,kalmunai,LK,7.42,81.82,76.52,90,51,3.56
285,phan thiet,VN,10.93,108.1,74.72,94,56,5.06
286,saint-louis,SN,16.03,-16.5,80.6,78,0,11.41
287,acajutla,SV,13.59,-89.83,85.16,63,37,7.99
288,atar,MR,20.52,-13.05,100.46,16,76,9.37
289,saryg-sep,RU,51.49,95.55,56.54,90,100,1.5
290,mandera,ET,3.94,41.86,81.2,54,67,14.52
291,general pico,AR,-35.66,-63.75,54.2,41,0,5.37
292,kasongo-lunda,CD,-6.48,16.82,71.12,28,0,3.09
293,beloha,MG,-25.17,45.06,58.88,81,0,5.7
294,fort nelson,CA,58.81,-122.69,59.0,82,90,14.99
295,trofors,NO,65.54,13.39,53.53,82,75,4.7
296,luanda,AO,-8.83,13.24,71.6,83,40,5.82
297,lazaro cardenas,MX,28.39,-105.62,88.99,30,75,5.82
298,lakatoro,VU,-16.11,167.42,77.6,79,75,19.33
299,sambava,MG,-14.27,50.17,63.02,92,6,3.02
300,uhlove,UA,44.82,33.6,68.96,56,4,8.34
301,varazze,IT,44.36,8.57,75.24,78,0,5.35
302,guanare,VE,9.04,-69.74,83.18,63,29,4.21
303,taksimo,RU,56.36,114.84,59.42,87,100,9.24
304,osmena,PH,12.17,124.59,79.22,81,90,4.45
305,kenitra,MA,34.26,-6.57,71.89,78,20,5.82
306,hasaki,JP,35.73,140.83,65.32,93,75,1.12
307,klyuchi,RU,52.25,79.17,61.58,88,100,8.9
308,bubaque,GW,11.28,-15.83,79.4,85,100,13.33
309,taltal,CL,-25.41,-70.49,58.88,66,54,5.44
310,sorong,ID,-0.86,131.25,73.28,83,82,9.26
311,buraydah,SA,26.33,43.97,93.2,18,0,10.29
312,mount isa,AU,-20.73,139.49,55.4,58,81,11.41
313,airai,TL,-8.93,125.41,66.44,80,68,4.81
314,lorengau,PG,-2.02,147.27,79.4,77,86,13.8
315,tiznit,MA,29.7,-9.73,67.7,91,0,4.54
316,porto novo,BR,-23.68,-45.44,75.2,41,0,2.24
317,mareeba,AU,-16.99,145.42,59.43,82,33,9.17
318,umm kaddadah,SD,13.6,26.69,83.0,45,52,9.31
319,adre,TD,13.47,22.2,75.8,70,33,9.91
320,wageningen,NL,51.98,5.66,62.89,77,90,5.82
321,kamina,CD,-8.74,25.0,74.18,33,81,3.8
322,waipawa,NZ,-39.94,176.59,51.01,85,0,11.01
323,ola,RU,59.58,151.3,55.1,75,15,3.36
324,anapolis,LT,55.81,25.77,49.52,82,66,3.24
325,dunedin,NZ,-45.87,170.5,46.99,71,13,5.99
326,dobrinka,RU,52.17,40.48,56.72,86,36,3.67
327,synya,RU,65.37,58.04,50.78,68,0,5.61
328,aklavik,CA,68.22,-135.01,47.91,66,75,3.36
329,wattens,AT,47.29,11.59,56.86,93,90,4.7
330,leh,IN,34.16,77.58,46.46,46,25,2.82
331,port hedland,AU,-20.31,118.58,59.0,21,0,11.41
332,kichera,RU,55.93,110.1,58.34,89,100,4.43
333,kibakwe,TZ,-6.71,36.37,62.12,74,0,6.31
334,aksehir,TR,38.36,31.42,52.4,71,0,4.14
335,havre-saint-pierre,CA,50.23,-63.6,59.0,87,90,11.41
336,lyantonde,UG,-0.41,31.15,67.7,76,100,4.05
337,moerai,PF,-22.43,-151.33,71.66,81,0,10.85
338,isangel,VU,-19.55,169.27,64.4,88,40,18.81
339,bestobe,KZ,52.5,73.1,66.08,63,34,7.07
340,samarai,PG,-10.62,150.67,72.56,95,100,6.33
341,baker city,US,44.77,-117.83,80.02,42,1,5.82
342,boende,CD,-0.28,20.88,71.66,91,100,1.92
343,marolambo,MG,-20.05,48.13,58.7,98,89,0.29
344,severodvinsk,RU,64.56,39.82,48.2,87,40,4.47
345,vila,IT,45.18,8.4,81.25,51,0,5.82
346,necochea,AR,-38.55,-58.74,52.0,90,0,4.0
347,along,IN,28.17,94.8,58.7,99,100,1.45
348,eureka,US,40.8,-124.16,69.3,77,1,18.34
349,esmeralda,CL,-34.33,-70.9,57.2,50,3,6.93
350,winnemucca,US,40.97,-117.74,92.44,14,1,8.23
351,sicamous,CA,50.84,-118.99,74.73,68,75,4.7
352,khandyga,RU,62.65,135.58,71.3,51,34,0.76
353,la crosse,US,43.8,-91.24,85.62,58,1,14.99
354,hofn,IS,64.25,-15.21,53.6,93,90,5.82
355,bud,NO,62.91,6.91,54.84,63,0,6.93
356,meulaboh,ID,4.14,96.13,84.08,75,97,12.08
357,san patricio,PY,-26.98,-56.83,69.86,70,100,5.39
358,yelizovo,RU,53.19,158.38,51.8,100,90,2.24
359,san pedro buenavista,MX,20.01,-97.11,78.68,68,62,3.78
360,praya,ID,-8.71,116.27,69.8,94,20,19.01
361,souillac,FR,45.6,-0.6,74.77,69,0,12.75
362,buin,CL,-33.73,-70.74,57.2,44,67,3.36
363,edd,ER,13.93,41.69,89.3,55,63,5.19
364,buala,SB,-8.15,159.59,79.58,83,98,10.89
365,socorro,US,31.65,-106.3,91.27,21,1,4.7
366,oranjestad,AW,12.52,-70.03,87.8,62,20,21.92
367,piacabucu,BR,-10.41,-36.43,75.62,82,21,8.59
368,indian head,CA,50.53,-103.67,74.21,44,33,8.57
369,marrakesh,MA,31.63,-7.99,89.6,29,0,9.17
370,kolyvan,RU,55.31,82.74,57.2,82,0,6.71
371,micheweni,TZ,-4.97,39.83,78.68,77,62,20.33
372,tuatapere,NZ,-46.13,167.69,52.04,78,100,19.01
373,beisfjord,NO,68.38,17.6,49.86,81,75,19.46
374,yarovoye,RU,52.92,78.56,61.4,84,100,8.14
375,lingao,CN,19.91,109.69,85.7,69,100,10.31
376,cabras,CO,5.5,-75.6,66.2,82,75,5.82
377,lufilufi,WS,-13.87,-171.6,77.0,88,40,4.7
378,goderich,CA,43.74,-81.71,68.14,70,10,5.99
379,qaqortoq,GL,60.72,-46.03,62.6,48,75,6.93
380,krutaya gorka,RU,55.36,73.22,66.2,68,0,4.47
381,sao domingos,BR,-13.4,-46.32,78.86,35,0,4.63
382,kieta,PG,-6.22,155.63,80.84,75,50,7.27
383,sao joao da barra,BR,-21.64,-41.05,78.73,42,0,13.87
384,sao francisco do sul,BR,-26.24,-48.64,70.23,73,0,4.7
385,dauriya,RU,49.93,116.85,63.74,65,0,3.6
386,labuan,BN,5.28,115.24,75.07,100,90,4.45
387,voyvozh,RU,62.89,54.96,52.04,97,33,5.66
388,barra do corda,BR,-5.5,-45.25,83.0,57,69,5.14
389,ayan,IR,38.23,44.7,56.36,42,0,4.47
390,olinda,AU,-37.84,145.39,43.95,75,0,20.8
391,sistranda,NO,63.73,8.83,53.19,87,75,9.17
392,wucheng,CN,29.09,119.57,73.28,93,100,0.98
393,san jeronimo,PE,-13.65,-73.37,60.8,38,0,7.23
394,lata,IN,30.78,78.62,45.02,98,98,3.78
395,roald,NO,62.58,6.12,55.44,81,20,12.75
396,huilong,CN,31.15,106.5,68.96,94,12,1.79
397,severo-kurilsk,RU,50.68,156.12,44.66,94,100,8.52
398,oum hadjer,TD,13.3,19.7,82.28,59,40,14.99
399,oksfjord,NO,70.24,22.35,58.35,62,0,2.24
400,mayumba,GA,-3.44,10.65,72.2,89,100,7.45
401,winona,CA,43.21,-79.65,71.47,68,75,10.29
402,egvekinot,RU,66.32,-179.17,76.52,34,100,3.47
403,ormond beach,US,29.29,-81.06,87.67,83,90,12.75
404,ingham,AU,-18.65,146.16,56.36,96,66,1.7
405,mackay,CA,53.65,-115.58,70.7,46,40,11.41
406,caernarfon,GB,53.14,-4.27,60.46,82,67,11.41
407,bundaberg,AU,-24.87,152.35,48.83,93,33,3.36
408,puli,TW,23.97,120.97,81.66,83,13,10.49
409,sibu,MY,2.29,111.83,77.0,94,75,2.24
410,caldwell,US,43.67,-116.69,88.81,35,1,5.82
411,sept-iles,CA,50.2,-66.38,60.58,93,90,14.99
412,garmsar,IR,35.22,52.34,83.9,17,0,6.29
413,leua,AO,-11.65,20.45,57.44,35,0,4.12
414,tazovskiy,RU,67.47,78.7,47.54,96,1,13.53
415,najran,SA,17.54,44.22,91.4,14,40,6.93
416,lipin bor,RU,60.26,37.97,42.86,97,78,4.0
417,belyy yar,RU,53.6,91.39,62.6,72,0,4.47
418,serta,IT,46.01,10.15,76.39,50,0,5.82
419,sale,AU,-38.11,147.06,45.52,70,4,12.46
420,burnie,AU,-41.05,145.91,40.96,85,68,13.0
421,chiang khong,LA,20.27,100.41,78.76,78,0,5.82
422,haines junction,CA,60.75,-137.51,63.38,48,99,10.49
423,comodoro rivadavia,AR,-45.87,-67.48,59.0,51,0,5.82
424,saint anthony,US,43.97,-111.68,86.92,28,1,5.82
425,lagoa,PT,37.14,-8.45,71.15,83,20,10.29
426,konevo,BG,41.67,25.61,66.26,55,77,3.38
427,saint-pierre,FR,48.95,4.24,71.06,53,0,13.87
428,emba,CY,34.81,32.42,75.33,78,40,11.41
429,matelandia,BR,-25.24,-54.0,80.62,34,0,27.51
430,griffith,AU,-34.29,146.06,42.87,93,0,12.75
431,jalu,LY,29.03,21.55,84.26,43,0,14.03
432,oriximina,BR,-1.77,-55.87,86.24,63,0,6.53
433,kirkwall,GB,58.98,-2.96,53.4,87,75,5.82
434,maningrida,AU,-12.05,134.23,63.74,93,52,7.27
435,abnub,EG,27.27,31.15,89.6,33,0,11.41
436,bambous virieux,MU,-20.34,57.76,69.04,64,40,9.17
437,ostrovnoy,RU,68.05,39.51,37.46,86,20,1.54
438,rabo de peixe,PT,37.8,-25.58,73.4,73,40,10.29
439,gejiu,CN,23.36,103.16,63.74,95,100,6.17
440,adrar,DZ,27.87,-0.29,111.2,6,0,12.75
441,seguin,US,29.57,-97.96,93.04,47,20,10.29
442,aykhal,RU,65.95,111.51,48.2,93,90,4.47
443,cochabamba,BO,-17.39,-66.16,82.4,13,0,3.36
444,perry,US,30.12,-83.58,83.5,62,75,11.41
445,jamame,SO,0.07,42.75,75.62,83,98,7.52
446,ancud,CL,-41.87,-73.83,48.2,87,90,17.22
447,nishihara,JP,35.74,139.53,69.73,93,1,3.36
448,miquelon,PM,47.1,-56.38,57.07,76,40,8.05
449,chino valley,US,34.76,-112.45,92.14,18,1,5.82
